well_id,year,analyte,value,unit,remark
W001,2004,nitrate_n_mg_l,0.10918,mg/L as N,measured
W001,2004,ammonium_n_mg_l,0.12428,mg/L as N,measured
W001,2004,chloride_mg_l,16.36843,mg/L,measured
W001,2004,specific_conductance_us_cm,140.26716,uS/cm,measured
W001,2006,ammonium_n_mg_l,0.01587,mg/L as N,measured
W001,2006,chloride_mg_l,17.29262,mg/L,measured
W001,2006,specific_conductance_us_cm,125.62859,uS/cm,measured
W001,2008,nitrate_n_mg_l,0.05633,mg/L as N,less_than_detection
W001,2008,ammonium_n_mg_l,0.01183,mg/L as N,less_than_detection
W001,2008,chloride_mg_l,18.77475,mg/L,measured
W001,2008,specific_conductance_us_cm,78.31246,uS/cm,less_than_detection
W002,1978,nitrate_n_mg_l,0.16645,mg/L as N,measured
W002,1978,ammonium_n_mg_l,0.00468,mg/L as N,measured
W002,1978,chloride_mg_l,18.4667,mg/L,measured
W002,1978,specific_conductance_us_cm,123.7255,uS/cm,measured
W002,1980,nitrate_n_mg_l,0.27302,mg/L as N,measured
W002,1980,ammonium_n_mg_l,0.04987,mg/L as N,measured
W002,1980,chloride_mg_l,20.23912,mg/L,measured
W002,1980,specific_conductance_us_cm,71.49685,uS/cm,less_than_detection
W002,1982,nitrate_n_mg_l,0.30259,mg/L as N,measured
W002,1982,ammonium_n_mg_l,0.04654,mg/L as N,measured
W002,1982,chloride_mg_l,15.67984,mg/L,measured
W002,1982,specific_conductance_us_cm,82.63448,uS/cm,less_than_detection
W002,1984,ammonium_n_mg_l,0.01452,mg/L as N,less_than_detection
W002,1984,chloride_mg_l,20.19307,mg/L,measured
W002,1984,specific_conductance_us_cm,171.83899,uS/cm,measured
W002,1986,nitrate_n_mg_l,0.5367,mg/L as N,measured
W002,1986,ammonium_n_mg_l,0.16387,mg/L as N,measured
W002,1986,chloride_mg_l,26.74476,mg/L,measured
W002,1988,nitrate_n_mg_l,0.62693,mg/L as N,measured
W002,1988,ammonium_n_mg_l,0.15432,mg/L as N,measured
W002,1988,chloride_mg_l,24.93556,mg/L,measured
W002,1990,ammonium_n_mg_l,0.12954,mg/L as N,measured
W002,1990,chloride_mg_l,25.09774,mg/L,measured
W002,1990,specific_conductance_us_cm,196.01984,uS/cm,measured
W002,1992,nitrate_n_mg_l,0.91815,mg/L as N,measured
W002,1992,ammonium_n_mg_l,0.16251,mg/L as N,measured
W002,1992,chloride_mg_l,29.48894,mg/L,measured
W002,1992,specific_conductance_us_cm,221.50849,uS/cm,measured
W002,1994,nitrate_n_mg_l,1.23941,mg/L as N,measured
W002,1994,ammonium_n_mg_l,0.23555,mg/L as N,measured
W002,1994,chloride_mg_l,41.72002,mg/L,measured
W002,1994,specific_conductance_us_cm,257.47149,uS/cm,measured
W002,1996,ammonium_n_mg_l,0.2365,mg/L as N,measured
W002,1996,chloride_mg_l,47.91617,mg/L,measured
W002,1996,specific_conductance_us_cm,311.16139,uS/cm,measured
W002,1998,nitrate_n_mg_l,2.73091,mg/L as N,measured
W002,1998,ammonium_n_mg_l,0.32675,mg/L as N,measured
W002,2000,nitrate_n_mg_l,4.1954,mg/L as N,measured
W002,2000,ammonium_n_mg_l,0.38278,mg/L as N,measured
W002,2000,chloride_mg_l,126.30133,mg/L,measured
W002,2000,specific_conductance_us_cm,735.94317,uS/cm,measured
W002,2002,nitrate_n_mg_l,6.02185,mg/L as N,measured
W002,2002,ammonium_n_mg_l,0.58768,mg/L as N,measured
W002,2002,chloride_mg_l,138.47076,mg/L,measured
W002,2002,specific_conductance_us_cm,1072.53859,uS/cm,measured
W002,2004,nitrate_n_mg_l,7.59116,mg/L as N,measured
W002,2004,ammonium_n_mg_l,0.6513,mg/L as N,measured
W002,2004,chloride_mg_l,197.95269,mg/L,measured
W002,2004,specific_conductance_us_cm,1489.93772,uS/cm,measured
W002,2006,nitrate_n_mg_l,9.32819,mg/L as N,measured
W002,2006,ammonium_n_mg_l,0.86719,mg/L as N,measured
W002,2006,specific_conductance_us_cm,1557.04247,uS/cm,measured
W002,2008,nitrate_n_mg_l,11.00833,mg/L as N,measured
W002,2008,ammonium_n_mg_l,1.01255,mg/L as N,measured
W002,2008,specific_conductance_us_cm,1682.6109,uS/cm,measured
W003,1978,nitrate_n_mg_l,0.15851,mg/L as N,measured
W003,1978,ammonium_n_mg_l,0.00634,mg/L as N,less_than_detection
W003,1978,chloride_mg_l,10.07225,mg/L,less_than_detection
W003,1978,specific_conductance_us_cm,132.49515,uS/cm,measured
W003,1980,nitrate_n_mg_l,0.20081,mg/L as N,measured
W003,1980,ammonium_n_mg_l,0.05572,mg/L as N,measured
W003,1980,chloride_mg_l,20.22136,mg/L,measured
W003,1980,specific_conductance_us_cm,66.20177,uS/cm,less_than_detection
W003,1982,nitrate_n_mg_l,0.32044,mg/L as N,measured
W003,1982,ammonium_n_mg_l,0.0583,mg/L as N,measured
W003,1982,specific_conductance_us_cm,172.31892,uS/cm,measured
W003,1984,nitrate_n_mg_l,0.35938,mg/L as N,measured
W003,1984,ammonium_n_mg_l,0.16252,mg/L as N,measured
W003,1984,chloride_mg_l,21.61846,mg/L,measured
W003,1984,specific_conductance_us_cm,190.21862,uS/cm,measured
W003,1986,nitrate_n_mg_l,0.59509,mg/L as N,measured
W003,1986,ammonium_n_mg_l,0.08889,mg/L as N,measured
W003,1986,chloride_mg_l,24.72583,mg/L,measured
W003,1986,specific_conductance_us_cm,176.44872,uS/cm,measured
W003,1988,nitrate_n_mg_l,0.74341,mg/L as N,measured
W003,1988,ammonium_n_mg_l,0.18669,mg/L as N,measured
W003,1988,specific_conductance_us_cm,174.94522,uS/cm,measured
W003,1990,nitrate_n_mg_l,0.86816,mg/L as N,measured
W003,1990,ammonium_n_mg_l,0.19459,mg/L as N,measured
W003,1990,chloride_mg_l,29.85494,mg/L,measured
W003,1990,specific_conductance_us_cm,185.09299,uS/cm,measured
W003,1992,nitrate_n_mg_l,1.36035,mg/L as N,measured
W003,1992,ammonium_n_mg_l,0.22819,mg/L as N,measured
W003,1992,chloride_mg_l,42.82169,mg/L,measured
W003,1992,specific_conductance_us_cm,257.88751,uS/cm,measured
W003,1994,nitrate_n_mg_l,1.61435,mg/L as N,measured
W003,1994,ammonium_n_mg_l,0.32758,mg/L as N,measured
W003,1994,chloride_mg_l,52.68188,mg/L,measured
W003,1994,specific_conductance_us_cm,356.65195,uS/cm,measured
W003,1996,nitrate_n_mg_l,2.3819,mg/L as N,measured
W003,1996,ammonium_n_mg_l,0.37081,mg/L as N,measured
W003,1996,chloride_mg_l,78.34419,mg/L,measured
W003,1996,specific_conductance_us_cm,577.3139,uS/cm,measured
W003,1998,nitrate_n_mg_l,3.91931,mg/L as N,measured
W003,1998,ammonium_n_mg_l,0.44975,mg/L as N,measured
W003,1998,chloride_mg_l,116.56324,mg/L,measured
W003,1998,specific_conductance_us_cm,902.22947,uS/cm,measured
W003,2000,nitrate_n_mg_l,7.03636,mg/L as N,measured
W003,2000,ammonium_n_mg_l,0.66362,mg/L as N,measured
W003,2000,chloride_mg_l,163.78378,mg/L,measured
W003,2000,specific_conductance_us_cm,1216.82183,uS/cm,measured
W003,2002,nitrate_n_mg_l,9.57299,mg/L as N,measured
W003,2002,chloride_mg_l,206.7709,mg/L,measured
W003,2002,specific_conductance_us_cm,1441.69645,uS/cm,measured
W003,2004,nitrate_n_mg_l,12.20195,mg/L as N,measured
W003,2004,ammonium_n_mg_l,1.15142,mg/L as N,measured
W003,2004,chloride_mg_l,202.60955,mg/L,measured
W003,2004,specific_conductance_us_cm,1464.96491,uS/cm,measured
W003,2006,nitrate_n_mg_l,14.85719,mg/L as N,measured
W003,2006,ammonium_n_mg_l,1.51439,mg/L as N,measured
W003,2006,chloride_mg_l,250.86781,mg/L,measured
W003,2006,specific_conductance_us_cm,1534.75322,uS/cm,measured
W003,2008,nitrate_n_mg_l,14.97375,mg/L as N,measured
W003,2008,chloride_mg_l,207.32879,mg/L,measured
W003,2008,specific_conductance_us_cm,1278.15027,uS/cm,measured
W003,2010,nitrate_n_mg_l,14.38941,mg/L as N,measured
W003,2010,ammonium_n_mg_l,1.4651,mg/L as N,measured
W003,2010,chloride_mg_l,187.05984,mg/L,measured
W003,2010,specific_conductance_us_cm,1273.24011,uS/cm,measured
W004,2010,nitrate_n_mg_l,3.73704,mg/L as N,measured
W004,2010,ammonium_n_mg_l,0.93037,mg/L as N,measured
W004,2010,chloride_mg_l,45.66397,mg/L,measured
W004,2010,specific_conductance_us_cm,308.01296,uS/cm,measured
W004,2012,nitrate_n_mg_l,3.16342,mg/L as N,measured
W004,2012,ammonium_n_mg_l,0.82344,mg/L as N,measured
W004,2012,chloride_mg_l,37.20274,mg/L,measured
W004,2012,specific_conductance_us_cm,311.15597,uS/cm,measured
W004,2014,ammonium_n_mg_l,0.90209,mg/L as N,measured
W004,2014,chloride_mg_l,42.04484,mg/L,measured
W004,2014,specific_conductance_us_cm,262.97048,uS/cm,measured
W004,2016,nitrate_n_mg_l,2.99218,mg/L as N,measured
W004,2016,ammonium_n_mg_l,0.85356,mg/L as N,measured
W004,2016,chloride_mg_l,37.59177,mg/L,measured
W004,2016,specific_conductance_us_cm,248.87391,uS/cm,measured
W004,2018,nitrate_n_mg_l,2.56757,mg/L as N,measured
W004,2018,ammonium_n_mg_l,0.99653,mg/L as N,measured
W004,2018,chloride_mg_l,34.36721,mg/L,measured
W004,2018,specific_conductance_us_cm,233.30154,uS/cm,measured
W005,1978,nitrate_n_mg_l,0.25825,mg/L as N,measured
W005,1978,ammonium_n_mg_l,0.10023,mg/L as N,measured
W005,1978,chloride_mg_l,9.63902,mg/L,less_than_detection
W005,1978,specific_conductance_us_cm,132.7923,uS/cm,measured
W005,1980,nitrate_n_mg_l,0.61591,mg/L as N,measured
W005,1980,ammonium_n_mg_l,0.23716,mg/L as N,measured
W005,1980,chloride_mg_l,24.35961,mg/L,measured
W005,1980,specific_conductance_us_cm,175.64639,uS/cm,measured
W005,1982,ammonium_n_mg_l,0.35082,mg/L as N,measured
W005,1982,chloride_mg_l,13.04067,mg/L,less_than_detection
W005,1982,specific_conductance_us_cm,233.17488,uS/cm,measured
W005,1984,nitrate_n_mg_l,2.27369,mg/L as N,measured
W005,1984,ammonium_n_mg_l,0.53644,mg/L as N,measured
W005,1984,chloride_mg_l,44.34381,mg/L,measured
W005,1984,specific_conductance_us_cm,302.5886,uS/cm,measured
W005,1986,nitrate_n_mg_l,4.43763,mg/L as N,measured
W005,1986,ammonium_n_mg_l,0.98841,mg/L as N,measured
W005,1986,chloride_mg_l,58.71549,mg/L,measured
W005,1986,specific_conductance_us_cm,422.70677,uS/cm,measured
W005,1988,nitrate_n_mg_l,5.3673,mg/L as N,measured
W005,1988,ammonium_n_mg_l,1.1753,mg/L as N,measured
W005,1988,chloride_mg_l,41.17759,mg/L,measured
W005,1988,specific_conductance_us_cm,291.75559,uS/cm,measured
W005,1990,nitrate_n_mg_l,6.91885,mg/L as N,measured
W005,1990,ammonium_n_mg_l,1.60121,mg/L as N,measured
W005,1990,chloride_mg_l,37.22161,mg/L,measured
W005,1990,specific_conductance_us_cm,294.49391,uS/cm,measured
W005,1992,nitrate_n_mg_l,2.44884,mg/L as N,measured
W005,1992,ammonium_n_mg_l,1.51518,mg/L as N,measured
W005,1992,chloride_mg_l,36.47511,mg/L,measured
W005,1992,specific_conductance_us_cm,299.22738,uS/cm,measured
W005,1994,nitrate_n_mg_l,2.08118,mg/L as N,measured
W005,1994,ammonium_n_mg_l,0.67592,mg/L as N,measured
W005,1994,chloride_mg_l,15.92766,mg/L,less_than_detection
W005,1994,specific_conductance_us_cm,227.0747,uS/cm,measured
W005,1996,nitrate_n_mg_l,1.77728,mg/L as N,measured
W005,1996,ammonium_n_mg_l,0.55687,mg/L as N,measured
W005,1996,chloride_mg_l,13.58517,mg/L,less_than_detection
W005,1996,specific_conductance_us_cm,213.2,uS/cm,measured
W005,1998,nitrate_n_mg_l,1.48334,mg/L as N,measured
W005,1998,ammonium_n_mg_l,0.45959,mg/L as N,measured
W005,1998,chloride_mg_l,30.17077,mg/L,measured
W005,1998,specific_conductance_us_cm,84.494,uS/cm,less_than_detection
W005,2000,nitrate_n_mg_l,1.32411,mg/L as N,measured
W005,2000,ammonium_n_mg_l,0.42755,mg/L as N,measured
W005,2000,chloride_mg_l,11.57386,mg/L,less_than_detection
W005,2000,specific_conductance_us_cm,162.09732,uS/cm,measured
W005,2002,nitrate_n_mg_l,1.40832,mg/L as N,measured
W005,2002,ammonium_n_mg_l,0.45582,mg/L as N,measured
W005,2002,chloride_mg_l,27.07035,mg/L,measured
W005,2002,specific_conductance_us_cm,162.35478,uS/cm,measured
W005,2004,nitrate_n_mg_l,1.13893,mg/L as N,measured
W005,2004,ammonium_n_mg_l,0.40768,mg/L as N,measured
W005,2004,chloride_mg_l,10.97848,mg/L,less_than_detection
W005,2004,specific_conductance_us_cm,72.39464,uS/cm,less_than_detection
W005,2006,nitrate_n_mg_l,1.06169,mg/L as N,measured
W005,2006,ammonium_n_mg_l,0.3043,mg/L as N,measured
W005,2006,chloride_mg_l,20.4322,mg/L,measured
W005,2006,specific_conductance_us_cm,71.24399,uS/cm,less_than_detection
W005,2008,nitrate_n_mg_l,0.83522,mg/L as N,measured
W005,2008,ammonium_n_mg_l,0.28488,mg/L as N,measured
W005,2008,chloride_mg_l,10.32135,mg/L,less_than_detection
W005,2008,specific_conductance_us_cm,81.56308,uS/cm,less_than_detection
W006,1978,nitrate_n_mg_l,0.26639,mg/L as N,measured
W006,1978,chloride_mg_l,17.31198,mg/L,measured
W006,1978,specific_conductance_us_cm,170.58776,uS/cm,measured
W006,1980,nitrate_n_mg_l,0.36067,mg/L as N,measured
W006,1980,ammonium_n_mg_l,0.12476,mg/L as N,measured
W006,1980,chloride_mg_l,23.04509,mg/L,measured
W006,1980,specific_conductance_us_cm,75.1655,uS/cm,less_than_detection
W006,1982,nitrate_n_mg_l,0.56819,mg/L as N,measured
W006,1982,ammonium_n_mg_l,0.19844,mg/L as N,measured
W006,1982,chloride_mg_l,26.53206,mg/L,measured
W006,1982,specific_conductance_us_cm,182.78229,uS/cm,measured
W006,1984,nitrate_n_mg_l,1.50862,mg/L as N,measured
W006,1984,ammonium_n_mg_l,0.22599,mg/L as N,measured
W006,1986,nitrate_n_mg_l,3.95628,mg/L as N,measured
W006,1986,ammonium_n_mg_l,0.60261,mg/L as N,measured
W006,1986,chloride_mg_l,76.92423,mg/L,measured
W006,1986,specific_conductance_us_cm,516.12356,uS/cm,measured
W006,1988,nitrate_n_mg_l,8.3558,mg/L as N,measured
W006,1988,ammonium_n_mg_l,1.30612,mg/L as N,measured
W006,1988,chloride_mg_l,132.57483,mg/L,measured
W006,1988,specific_conductance_us_cm,917.19164,uS/cm,measured
W006,1990,nitrate_n_mg_l,12.73002,mg/L as N,measured
W006,1990,ammonium_n_mg_l,2.08634,mg/L as N,measured
W006,1990,chloride_mg_l,193.54245,mg/L,measured
W006,1990,specific_conductance_us_cm,1214.54262,uS/cm,measured
W006,1992,nitrate_n_mg_l,18.05778,mg/L as N,measured
W006,1992,ammonium_n_mg_l,3.31217,mg/L as N,measured
W006,1992,chloride_mg_l,242.50324,mg/L,measured
W006,1992,specific_conductance_us_cm,1565.30955,uS/cm,measured
W006,1994,nitrate_n_mg_l,20.09822,mg/L as N,measured
W006,1994,chloride_mg_l,246.2216,mg/L,measured
W006,1994,specific_conductance_us_cm,1527.08,uS/cm,measured
W006,1996,nitrate_n_mg_l,26.44088,mg/L as N,measured
W006,1996,ammonium_n_mg_l,5.10314,mg/L as N,measured
W006,1996,chloride_mg_l,226.24506,mg/L,measured
W006,1996,specific_conductance_us_cm,1340.75904,uS/cm,measured
W006,1998,ammonium_n_mg_l,4.30124,mg/L as N,measured
W006,1998,chloride_mg_l,221.96973,mg/L,measured
W006,1998,specific_conductance_us_cm,1297.79208,uS/cm,measured
W006,2000,nitrate_n_mg_l,25.54282,mg/L as N,measured
W006,2000,ammonium_n_mg_l,5.59817,mg/L as N,measured
W006,2000,specific_conductance_us_cm,1130.90222,uS/cm,measured
W006,2002,nitrate_n_mg_l,20.9257,mg/L as N,measured
W006,2002,ammonium_n_mg_l,5.63727,mg/L as N,measured
W006,2002,chloride_mg_l,129.11817,mg/L,measured
W006,2002,specific_conductance_us_cm,1001.06417,uS/cm,measured
W006,2004,nitrate_n_mg_l,17.62277,mg/L as N,measured
W006,2004,ammonium_n_mg_l,4.91746,mg/L as N,measured
W006,2004,chloride_mg_l,132.033,mg/L,measured
W006,2004,specific_conductance_us_cm,753.52957,uS/cm,measured
W006,2006,nitrate_n_mg_l,13.96323,mg/L as N,measured
W006,2006,ammonium_n_mg_l,3.82783,mg/L as N,measured
W006,2006,chloride_mg_l,114.94834,mg/L,measured
W006,2006,specific_conductance_us_cm,679.62792,uS/cm,measured
W006,2008,nitrate_n_mg_l,13.09521,mg/L as N,measured
W006,2008,ammonium_n_mg_l,3.21053,mg/L as N,measured
W006,2008,chloride_mg_l,80.27904,mg/L,measured
W006,2008,specific_conductance_us_cm,446.18993,uS/cm,measured
W006,2014,nitrate_n_mg_l,6.85865,mg/L as N,measured
W006,2014,ammonium_n_mg_l,2.06377,mg/L as N,measured
W006,2014,specific_conductance_us_cm,269.28326,uS/cm,measured
W007,1978,nitrate_n_mg_l,0.36387,mg/L as N,measured
W007,1978,chloride_mg_l,24.55138,mg/L,measured
W007,1978,specific_conductance_us_cm,139.43135,uS/cm,measured
W007,1980,nitrate_n_mg_l,0.6603,mg/L as N,measured
W007,1980,ammonium_n_mg_l,0.1713,mg/L as N,measured
W007,1980,chloride_mg_l,26.01854,mg/L,measured
W007,1980,specific_conductance_us_cm,194.98226,uS/cm,measured
W007,1982,nitrate_n_mg_l,1.38473,mg/L as N,measured
W007,1982,ammonium_n_mg_l,0.35264,mg/L as N,measured
W007,1982,chloride_mg_l,27.25572,mg/L,measured
W007,1982,specific_conductance_us_cm,213.76145,uS/cm,measured
W007,1984,nitrate_n_mg_l,2.96514,mg/L as N,measured
W007,1984,ammonium_n_mg_l,0.53416,mg/L as N,measured
W007,1984,chloride_mg_l,15.89096,mg/L,measured
W007,1984,specific_conductance_us_cm,77.25406,uS/cm,less_than_detection
W007,1986,nitrate_n_mg_l,0.04067,mg/L as N,less_than_detection
W007,1986,ammonium_n_mg_l,0.02609,mg/L as N,less_than_detection
W007,1986,chloride_mg_l,18.85181,mg/L,measured
W007,1986,specific_conductance_us_cm,130.45506,uS/cm,measured
W007,1988,nitrate_n_mg_l,0.09607,mg/L as N,measured
W007,1988,ammonium_n_mg_l,0.06328,mg/L as N,measured
W007,1988,chloride_mg_l,18.08788,mg/L,measured
W007,1988,specific_conductance_us_cm,136.73154,uS/cm,measured
W007,1990,nitrate_n_mg_l,0.06613,mg/L as N,measured
W007,1990,ammonium_n_mg_l,0.0,mg/L as N,less_than_detection
W007,1990,chloride_mg_l,17.62411,mg/L,measured
W007,1990,specific_conductance_us_cm,151.34464,uS/cm,measured
W007,1992,nitrate_n_mg_l,0.04999,mg/L as N,measured
W007,1992,ammonium_n_mg_l,0.01096,mg/L as N,measured
W007,1992,chloride_mg_l,16.92119,mg/L,measured
W007,1992,specific_conductance_us_cm,119.38321,uS/cm,measured
W007,1994,nitrate_n_mg_l,0.09032,mg/L as N,less_than_detection
W007,1994,ammonium_n_mg_l,0.0134,mg/L as N,measured
W007,1994,chloride_mg_l,17.39205,mg/L,measured
W007,1994,specific_conductance_us_cm,133.57925,uS/cm,measured
W007,1996,nitrate_n_mg_l,0.1253,mg/L as N,measured
W007,1996,ammonium_n_mg_l,0.09309,mg/L as N,measured
W007,1996,chloride_mg_l,14.71202,mg/L,measured
W007,1996,specific_conductance_us_cm,157.50076,uS/cm,measured
W007,1998,nitrate_n_mg_l,0.14027,mg/L as N,measured
W007,1998,chloride_mg_l,8.40787,mg/L,less_than_detection
W007,1998,specific_conductance_us_cm,143.18985,uS/cm,measured
W007,2000,nitrate_n_mg_l,0.171,mg/L as N,measured
W007,2000,ammonium_n_mg_l,0.09562,mg/L as N,measured
W007,2000,chloride_mg_l,19.32426,mg/L,measured
W007,2000,specific_conductance_us_cm,139.34822,uS/cm,measured
W007,2002,nitrate_n_mg_l,0.19475,mg/L as N,measured
W007,2002,ammonium_n_mg_l,0.01878,mg/L as N,measured
W007,2002,chloride_mg_l,21.18252,mg/L,measured
W007,2002,specific_conductance_us_cm,138.98379,uS/cm,measured
W007,2004,nitrate_n_mg_l,0.04892,mg/L as N,measured
W007,2004,ammonium_n_mg_l,0.01475,mg/L as N,measured
W007,2004,chloride_mg_l,19.7025,mg/L,measured
W007,2004,specific_conductance_us_cm,138.86123,uS/cm,measured
W007,2006,nitrate_n_mg_l,0.20115,mg/L as N,measured
W007,2006,ammonium_n_mg_l,0.0,mg/L as N,less_than_detection
W007,2006,chloride_mg_l,20.62824,mg/L,measured
W007,2006,specific_conductance_us_cm,124.63101,uS/cm,measured
W007,2008,nitrate_n_mg_l,0.05357,mg/L as N,less_than_detection
W007,2008,ammonium_n_mg_l,0.0539,mg/L as N,measured
W007,2008,chloride_mg_l,17.53694,mg/L,measured
W007,2018,nitrate_n_mg_l,0.12532,mg/L as N,measured
W007,2018,ammonium_n_mg_l,0.09616,mg/L as N,measured
W007,2018,chloride_mg_l,18.05353,mg/L,measured
W007,2018,specific_conductance_us_cm,155.75512,uS/cm,measured
W008,1978,ammonium_n_mg_l,0.09632,mg/L as N,measured
W008,1978,chloride_mg_l,9.61661,mg/L,less_than_detection
W008,1978,specific_conductance_us_cm,153.61214,uS/cm,measured
W008,1980,nitrate_n_mg_l,0.64228,mg/L as N,measured
W008,1980,ammonium_n_mg_l,0.01261,mg/L as N,less_than_detection
W008,1980,chloride_mg_l,11.73932,mg/L,less_than_detection
W008,1980,specific_conductance_us_cm,151.58308,uS/cm,measured
W008,1982,nitrate_n_mg_l,1.14783,mg/L as N,measured
W008,1982,ammonium_n_mg_l,0.19723,mg/L as N,measured
W008,1982,chloride_mg_l,26.232,mg/L,measured
W008,1982,specific_conductance_us_cm,180.49952,uS/cm,measured
W008,1984,nitrate_n_mg_l,1.6384,mg/L as N,measured
W008,1984,ammonium_n_mg_l,0.43542,mg/L as N,measured
W008,1984,chloride_mg_l,31.01017,mg/L,measured
W008,1984,specific_conductance_us_cm,296.95442,uS/cm,measured
W008,1986,nitrate_n_mg_l,2.89295,mg/L as N,measured
W008,1986,ammonium_n_mg_l,0.62527,mg/L as N,measured
W008,1986,chloride_mg_l,46.29855,mg/L,measured
W008,1986,specific_conductance_us_cm,355.22196,uS/cm,measured
W008,1988,nitrate_n_mg_l,3.37509,mg/L as N,measured
W008,1988,ammonium_n_mg_l,0.78398,mg/L as N,measured
W008,1988,chloride_mg_l,15.81915,mg/L,measured
W008,1988,specific_conductance_us_cm,124.0836,uS/cm,measured
W008,1990,nitrate_n_mg_l,0.08584,mg/L as N,less_than_detection
W008,1990,ammonium_n_mg_l,1.02737,mg/L as N,measured
W008,1990,chloride_mg_l,17.88217,mg/L,measured
W008,1990,specific_conductance_us_cm,137.55823,uS/cm,measured
W008,1992,nitrate_n_mg_l,0.07621,mg/L as N,less_than_detection
W008,1992,ammonium_n_mg_l,0.995,mg/L as N,measured
W008,1992,chloride_mg_l,18.1371,mg/L,measured
W008,1992,specific_conductance_us_cm,80.23513,uS/cm,less_than_detection
W008,1994,nitrate_n_mg_l,0.09071,mg/L as N,measured
W008,1994,ammonium_n_mg_l,0.06335,mg/L as N,measured
W008,1994,specific_conductance_us_cm,141.68736,uS/cm,measured
W008,1996,nitrate_n_mg_l,0.05369,mg/L as N,measured
W008,1996,ammonium_n_mg_l,0.02062,mg/L as N,measured
W008,1996,chloride_mg_l,17.23177,mg/L,measured
W008,1996,specific_conductance_us_cm,125.13509,uS/cm,measured
W008,1998,nitrate_n_mg_l,0.07759,mg/L as N,measured
W008,1998,ammonium_n_mg_l,0.05504,mg/L as N,measured
W008,1998,chloride_mg_l,20.26173,mg/L,measured
W008,1998,specific_conductance_us_cm,129.85851,uS/cm,measured
W008,2000,ammonium_n_mg_l,0.0043,mg/L as N,measured
W008,2000,chloride_mg_l,16.35377,mg/L,measured
W008,2000,specific_conductance_us_cm,146.44567,uS/cm,measured
W008,2002,nitrate_n_mg_l,0.08135,mg/L as N,measured
W008,2002,ammonium_n_mg_l,0.0,mg/L as N,measured
W008,2002,chloride_mg_l,16.90606,mg/L,measured
W008,2002,specific_conductance_us_cm,135.00611,uS/cm,measured
W008,2004,nitrate_n_mg_l,0.14548,mg/L as N,measured
